"stars","score","score_location","score_cleaning","score_service","score_value_money","ranking","price_range","opinions","opinions_excellent","opinions_good","opinions_normal","opinions_bad","opinions_awful","num_qa","nearby_restaurants","nearby_attractions","zone","latitude","longitude","has_swimming_pool","has_bar","has_restaurant","has_breakfast","has_gym","has_reception_24h","has_ac","has_strongbox","admits_pets","rooms","suites","sea_views_rooms","non_smoking_rooms","landmarks_views_rooms","city_views_rooms","family_rooms","style","tripadvisor_clasification","language_spanish","language_catalan","language_french","language_english","language_italian","language_bulgarian","language_russian","language_portuguese","prat_distance","price_range_disc","district"
3,4,3.5,4,4,4,337,88,568,129,254,126,36,23,15,117,18,"El Putxet i el Farró",41.405025,2.140588,"False","False","False","True","False","False","True","True","False",57,"False","False","True","False","False","False","Barrio residencial",100,"False","False","False","False","False","False","False","False",13,"Medio","Sarrià"
3,4,4,4,4,4,309,98.5,414,118,165,86,23,22,6,27,4,"Sant Gervasi-La Bonanova",41.403347,2.126999,"True","True","True","True","True","True","True","True","True",68,"False","False","True","False","False","True","Barrio residencial",81,"True","False","False","True","False","False","False","False",12,"Medio","Sarrià"
3,3.5,4.5,3.5,3.5,3.5,335,96.5,1861,367,744,413,162,176,58,335,69,"Ciutat Vella",41.375107,2.169188,"False","False","True","True","False","True","True","True","False",153,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","False","False",11,"Medio","Ciutat Vella"
4.5,4.5,5,4.5,4.5,4.5,14,167,2345,1638,589,95,12,15,40,428,100,"El Ensanche (Eixample)",41.395077,2.159359,"True","True","True","True","True","True","True","True","False",110,"True","False","True","False","False","True","Relación calidad/precio",100,"True","False","False","True","True","False","False","False",13,"Caro","Eixample"
1,4.5,4.5,4.5,5,4.5,48,75.5,346,244,74,19,4,5,9,322,56,"El Ensanche (Eixample)",41.398365,2.168619,"False","False","False","False","False","True","False","True","False",7,"False","False","True","False","False","True","",100,"True","False","False","True","False","False","False","False",13,"Medio","Eixample"
4,4.5,4,4.5,4.5,4.5,81,115,3792,2281,1185,221,70,35,87,334,24,"El Ensanche (Eixample)",41.389523,2.149031,"False","True","False","True","False","True","True","True","False",105,"False","False","True","False","False","False","De gama media",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
4,5,5,5,5,5,14,311.5,150,128,20,2,0,0,10,429,101,"El Ensanche (Eixample)",41.396263,2.161526,"False","False","False","False","False","False","True","True","False",5,"False","False","True","False","False","True","Con encanto",100,"True","True","True","True","False","False","False","False",13,"Lujo","Eixample"
4,5,5,4.5,4.5,5,12,192,555,465,70,12,4,4,33,451,107,"El Ensanche (Eixample)",41.39143,2.168341,"False","False","False","False","False","False","True","True","False",13,"False","False","True","False","True","True","Negocios",100,"True","True","True","True","True","False","True","False",13,"Caro","Eixample"
5,5,5,5,5,4.5,26,263,536,460,50,18,5,3,37,383,94,"El Ensanche (Eixample)",41.396122,2.163074,"True","True","True","True","True","True","True","True","False",88,"True","False","True","False","True","False","Vistas a la ciudad",100,"True","True","True","True","True","False","True","True",13,"Caro","Eixample"
4,4.5,5,5,5,4.5,40,138.5,383,299,65,13,3,3,18,318,84,"El Ensanche (Eixample)",41.391613,2.176222,"True","True","False","True","True","True","True","True","False",66,"True","False","True","False","False","False","Negocios",100,"True","True","True","True","False","False","False","False",13,"Medio","Eixample"
3,5,5,5,5,4.5,3,195.5,202,165,32,3,2,0,12,442,101,"El Ensanche (Eixample)",41.393349,2.165947,"False","False","False","True","False","False","True","True","False",8,"False","False","True","False","False","False","Moderno",100,"True","False","False","True","False","False","True","False",13,"Caro","Eixample"
3,4.5,4.5,5,4.5,4.5,20,111,5124,3376,1500,189,40,19,204,389,56,"El Ensanche (Eixample)",41.396236,2.170033,"True","True","False","True","True","True","True","True","False",105,"True","False","True","False","False","True","Ecológico",100,"False","True","True","True","False","False","False","False",13,"Medio","Eixample"
4,5,5,5,5,5,413,128,6,6,0,0,0,0,0,334,83,"El Ensanche (Eixample)",41.398079,2.16484,"False","True","True","True","True","True","True","True","False",100,"True","False","True","True","True","False","",100,"True","True","True","True","True","False","False","False",13,"Medio","Eixample"
4,4.5,4,5,4.5,4.5,102,117.5,639,395,195,33,8,8,5,41,12,"Sarrià",41.390411,2.121664,"False","True","True","False","True","True","True","True","False",39,"True","False","True","False","False","False","Tranquilo",93,"False","False","False","False","False","False","False","False",11,"Medio","Sarrià"
2,3,4,3.5,3.5,3.5,317,69.5,252,45,64,72,33,38,3,323,59,"El Ensanche (Eixample)",41.398365,2.168189,"False","False","False","False","False","False","True","False","False",21,"False","False","True","False","False","False","Económico",100,"True","False","False","True","False","False","False","False",13,"Medio","Eixample"
4,4.5,4.5,4.5,4.5,4,109,139,2011,1071,699,150,59,32,72,337,40,"El Ensanche (Eixample)",41.404778,2.172872,"False","True","True","True","False","True","True","True","False",105,"True","False","True","False","False","False","Vistas fantásticas",100,"True","True","True","True","True","False","False","False",14,"Medio","Eixample"
5,4.5,5,5,4.5,4,32,272,2151,1528,450,125,29,19,64,498,243,"Ciutat Vella",41.387051,2.174584,"True","True","True","True","True","True","True","True","False",74,"True","False","True","False","True","False","Vistas a la ciudad",100,"True","True","True","True","True","False","False","False",13,"Caro","Ciutat Vella"
3,4.5,4.5,4.5,4.5,4.5,35,65,453,341,85,11,6,10,9,537,119,"El Ensanche (Eixample)",41.390392,2.16078,"True","True","False","False","False","True","True","True","False",20,"False","False","True","False","False","False","Moderno",100,"True","True","True","True","True","False","False","True",12,"Medio","Eixample"
3,5,4.5,5,5,4.5,6,114,281,234,38,6,2,1,9,479,53,"El Ensanche (Eixample)",41.393822,2.1501,"False","False","False","True","False","True","False","False","False",4,"False","False","True","False","False","True","Con encanto",100,"True","True","True","True","False","False","False","False",12,"Medio","Eixample"
4,4.5,4.5,4.5,4.5,4,116,131,2090,1066,814,141,40,29,112,471,69,"El Ensanche (Eixample)",41.384022,2.160808,"True","True","True","True","True","True","True","True","False",124,"True","False","True","False","False","False","Ecológico",100,"False","True","True","True","False","False","False","False",12,"Medio","Eixample"
1,4.5,4.5,4.5,4.5,4.5,26,189.5,311,235,56,12,3,5,11,563,113,"El Ensanche (Eixample)",41.390438,2.159343,"False","False","False","False","False","True","True","True","False",7,"False","False","True","False","False","True","Con encanto",100,"True","True","True","True","True","False","True","True",12,"Caro","Eixample"
3,4.5,5,4.5,4.5,4.5,103,107.5,2483,1400,835,175,48,25,34,496,117,"El Ensanche (Eixample)",41.389057,2.165915,"False","False","False","False","False","True","True","True","False",43,"True","False","True","False","False","True","Pintoresco",100,"False","True","False","True","False","False","False","False",12,"Medio","Eixample"
4.5,4.5,4.5,4.5,4.5,4.5,69,157,1738,1037,521,125,39,17,36,533,100,"El Ensanche (Eixample)",41.39183,2.156713,"True","True","True","True","True","True","True","True","False",77,"False","False","True","False","False","False","Boutique",100,"False","False","False","True","False","False","False","False",12,"Caro","Eixample"
5,4.5,4.5,5,4.5,4.5,44,247,667,504,127,25,5,6,36,478,98,"El Ensanche (Eixample)",41.394424,2.156406,"True","True","True","True","True","True","True","True","False",94,"True","False","True","False","True","False","Tranquilo",100,"True","True","True","True","True","False","False","False",12,"Caro","Eixample"
2,5,5,4.5,5,5,25,86.5,305,256,37,7,3,2,6,432,74,"El Ensanche (Eixample)",41.39378,2.170031,"False","False","False","True","False","False","True","True","False",8,"False","False","True","False","False","True","Con encanto",100,"True","True","False","True","True","False","False","False",13,"Medio","Eixample"
NA,4.5,4.5,4.5,4.5,4,20,101.5,261,169,77,8,5,2,5,507,111,"El Ensanche (Eixample)",41.393196,2.157366,"False","False","False","True","False","False","True","True","False",14,"False","False","True","False","False","True","De gama media",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
4,4.5,4.5,4.5,4.5,4.5,83,137,533,350,128,37,11,7,18,351,53,"El Ensanche (Eixample)",41.393692,2.174159,"False","True","True","True","False","True","True","True","True",67,"True","False","True","False","False","False","Con encanto",100,"True","True","True","True","False","False","False","False",13,"Medio","Eixample"
4.5,4.5,5,4.5,4.5,4.5,65,178,1375,957,329,59,20,10,52,453,107,"El Ensanche (Eixample)",41.390106,2.169671,"True","True","True","True","True","True","True","True","True",74,"True","False","True","False","False","True","Familiar",100,"False","True","True","True","False","False","False","False",13,"Caro","Eixample"
4,4.5,4.5,5,5,4.5,16,191.5,3340,2618,641,60,9,12,96,526,118,"El Ensanche (Eixample)",41.392174,2.158486,"True","True","True","True","True","True","True","True","False",128,"True","False","True","False","False","False","Moderno",100,"False","False","True","False","False","False","False","False",12,"Caro","Eixample"
4,4.5,4.5,5,4.5,4.5,56,127.5,710,472,192,34,7,5,33,386,79,"El Ensanche (Eixample)",41.396339,2.166154,"False","True","False","True","False","True","True","True","False",88,"True","False","True","False","False","True","Moderno",100,"True","True","True","True","False","False","False","False",13,"Medio","Eixample"
4,4.5,5,4.5,4.5,4.5,80,157,923,549,305,55,9,5,27,384,117,"El Ensanche (Eixample)",41.389599,2.174709,"False","True","True","True","False","True","True","True","False",78,"False","False","True","False","False","False","Con encanto",100,"True","True","True","True","False","False","False","False",13,"Caro","Eixample"
3,4.5,4.5,4.5,4.5,4.5,24,93,572,345,175,38,9,5,22,395,86,"El Ensanche (Eixample)",41.396034,2.16538,"False","False","False","True","False","False","True","True","False",9,"False","False","True","False","False","True","Boutique",100,"True","True","True","True","True","False","False","False",13,"Medio","Eixample"
NA,5,5,5,5,5,6,169.5,89,80,7,2,0,0,7,772,322,"Ciutat Vella",41.383186,2.173671,"False","True","False","False","False","True","True","True","False",17,"True","False","True","False","False","False","Romántico",100,"True","False","False","True","False","False","True","False",12,"Caro","Ciutat Vella"
4,4,4.5,4.5,4,4,213,125.5,1322,495,523,179,68,57,32,423,83,"El Ensanche (Eixample)",41.393467,2.16865,"True","True","True","True","True","True","True","True","True",124,"False","False","True","False","False","True","",100,"True","False","False","True","False","False","False","False",13,"Medio","Eixample"
3,4,4,4.5,4,4,227,110,532,162,262,80,25,3,21,501,116,"Ciutat Vella",41.379185,2.168547,"False","True","False","True","False","True","True","True","False",49,"False","False","True","False","False","False","De gama media",100,"True","True","False","True","False","False","False","False",12,"Medio","Ciutat Vella"
3,4,4.5,4,4,4,275,148,836,174,444,153,38,27,52,486,147,"Ciutat Vella",41.382095,2.184116,"False","False","False","True","False","True","True","True","False",72,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","False","False",13,"Medio","Ciutat Vella"
4,4,4,4,4,3.5,280,97,2084,596,847,345,159,137,89,113,12,"Sant Martí",41.410976,2.186668,"True","True","True","True","True","False","True","True","True",201,"True","False","True","False","False","False","",100,"False","True","True","True","False","False","False","False",15,"Medio","Sant Martí"
4,4,4,4.5,4.5,4,237,155,1427,673,441,154,81,78,64,150,16,"Poblenou",41.406204,2.201032,"True","True","True","True","True","False","True","True","False",162,"True","True","True","False","False","False","Vistas fantásticas",93,"True","True","False","False","False","False","False","False",16,"Caro","Sant Martí"
4,4,3.5,4.5,4,3.5,269,181,1822,528,818,316,93,67,69,84,15,"Diagonal Mar i el Front Marítim del Poblenou",41.410183,2.218565,"True","True","True","True","True","True","True","True","False",368,"True","True","True","False","False","False","Vistas fantásticas",97,"True","False","True","True","True","False","False","False",17,"Caro","Sant Martí"
3,4.5,4.5,4.5,4,4,222,109.5,189,97,62,19,5,6,1,330,41,"El Ensanche (Eixample)",41.401253,2.173444,"False","False","False","True","False","True","True","True","False",14,"False","False","True","False","False","False","De gama media",100,"True","False","False","True","True","False","True","False",14,"Medio","Eixample"
3,4,5,4,4,4,230,127,1099,413,446,132,76,32,16,712,302,"Ciutat Vella",41.38369,2.180025,"False","True","True","True","False","True","True","True","False",43,"False","False","True","False","False","False","Céntrico",100,"True","True","True","True","True","False","False","True",13,"Medio","Ciutat Vella"
4.5,4,5,4.5,4,4,162,178,1980,937,692,195,79,77,50,511,135,"Ciutat Vella",41.385368,2.166924,"True","True","True","True","True","True","True","True","False",221,"True","False","True","False","False","True","Negocios",100,"True","False","True","True","False","False","True","False",12,"Caro","Ciutat Vella"
NA,5,5,5,5,5,86,121.5,39,38,1,0,0,0,0,437,94,"Vila de Gràcia",41.396908,2.158591,"False","False","False","False","False","False","True","False","False",25,"True","False","True","False","True","True","",100,"True","False","True","True","False","False","False","False",13,"Medio","Gràcia"
2,4.5,4,4.5,4.5,4.5,75,59,188,130,43,7,6,2,3,85,13,"Sants-Montjuïc",41.374371,2.130399,"False","True","False","True","False","True","True","False","False",10,"False","False","False","False","False","False","Económico",100,"True","False","False","True","True","False","False","True",9,"Barato","Sants-Montjuïc"
NA,4.5,4.5,4.5,4.5,4.5,90,73,147,94,39,9,2,3,3,404,59,"El Ensanche (Eixample)",41.39352,2.172625,"False","False","False","True","False","False","False","False","False",5,"False","False","True","False","False","False","",100,"True","True","False","True","False","False","False","True",13,"Medio","Eixample"
4,4.5,4,4.5,4.5,4.5,168,132.5,1667,750,693,177,24,23,51,74,5,"Diagonal Mar i el Front Marítim del Poblenou",41.411636,2.211971,"True","True","True","True","True","True","True","True","False",177,"False","False","True","False","False","True","Moderno",89,"True","True","True","True","True","False","False","False",17,"Medio","Sant Martí"
1,4,5,4,3.5,4,67,105,251,79,115,35,12,10,10,400,98,"El Ensanche (Eixample)",41.395828,2.160983,"False","False","False","True","False","True","True","False","False",33,"False","False","True","False","False","True","Familiar",100,"True","True","True","True","True","False","True","False",13,"Medio","Eixample"
3,4.5,4.5,4.5,4.5,4.5,63,92.5,214,137,63,8,5,1,0,51,24,"Vallcarca i els Penitents",41.409519,2.14726,"False","False","False","False","False","False","True","False","True",6,"False","False","True","False","False","False","Barrio residencial",95,"True","True","True","True","True","False","False","True",14,"Medio","Gràcia"
3,4,5,4,4,4,221,161,1364,539,595,156,44,30,78,649,262,"Ciutat Vella",41.383854,2.171473,"False","False","False","True","False","True","True","True","False",131,"False","False","True","False","False","False","Céntrico",100,"True","True","True","True","True","False","False","False",12,"Caro","Ciutat Vella"
4,4,4.5,4.5,4.5,4,203,138.5,861,285,387,132,38,19,22,502,117,"El Ensanche (Eixample)",41.392265,2.16213,"True","True","False","True","False","True","True","True","False",79,"False","False","True","False","False","False","De gama media",100,"True","False","True","True","False","False","False","False",12,"Medio","Eixample"
3,4,5,4.5,4.5,4,138,148,1183,530,494,99,33,27,47,772,327,"Ciutat Vella",41.383362,2.173829,"False","True","False","True","False","True","True","True","False",37,"False","False","True","False","False","False","Clásico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
4,4,4,4.5,4,4,279,145,3568,1502,1384,421,143,119,105,83,15,"Diagonal Mar i el Front Marítim del Poblenou",41.411068,2.218752,"True","True","True","True","True","True","True","True","False",363,"True","True","True","False","False","True","Vistas fantásticas",97,"False","True","False","True","False","False","False","False",17,"Medio","Sant Martí"
3,4,5,4.5,4.5,4,192,123.5,585,254,208,66,32,25,27,503,119,"El Ensanche (Eixample)",41.389481,2.165849,"False","True","False","True","False","True","True","True","False",19,"True","False","True","False","False","True","Pintoresco",100,"True","True","True","True","True","False","True","False",12,"Medio","Eixample"
2,4,4.5,4.5,4,4,290,97.5,706,191,358,99,32,26,11,382,61,"El Ensanche (Eixample)",41.382813,2.157174,"False","False","False","True","False","True","True","True","False",48,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","True","False",11,"Medio","Eixample"
3,4.5,4,4.5,4.5,4.5,140,104.5,1783,853,743,136,31,20,79,121,12,"Sant Martí",41.411022,2.185682,"False","False","False","True","False","True","True","True","False",66,"False","False","True","False","False","True","Barrio residencial",100,"True","True","True","True","True","False","False","False",15,"Medio","Sant Martí"
3,4,4.5,4.5,4,4,177,102,627,188,339,81,16,3,15,335,39,"El Ensanche (Eixample)",41.376205,2.157136,"False","False","False","True","False","True","True","True","False",51,"False","False","True","False","True","True","Con encanto",100,"True","True","True","True","True","False","False","False",11,"Medio","Eixample"
NA,4.5,5,5,4.5,4.5,74,102,202,135,51,10,5,1,6,744,336,"Ciutat Vella",41.381081,2.177423,"False","False","False","False","False","False","False","False","False",14,"False","False","True","False","True","False","Céntrico",100,"True","True","True","True","False","False","False","False",12,"Medio","Ciutat Vella"
3,4,5,4.5,4,4,159,106,839,267,462,90,10,10,13,527,127,"Ciutat Vella",41.385624,2.166249,"False","True","False","True","False","True","True","True","False",50,"True","False","True","False","True","True","Vistas a la ciudad",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
2,4.5,4.5,4.5,4.5,4.5,40,82.5,251,131,90,22,4,4,5,316,33,"Sant Gervasi-Galvany",41.396973,2.146278,"False","False","False","True","False","False","True","True","False",4,"False","False","True","False","False","False","Ecológico",100,"True","True","True","True","True","False","False","False",12,"Medio","Sarrià"
4,4,5,4.5,4.5,4,152,163,1875,895,634,183,91,72,39,520,143,"El Ensanche (Eixample)",41.386269,2.168141,"True","True","True","True","False","True","True","True","False",150,"True","False","True","False","False","True","Ecológico",100,"True","True","True","True","True","False","False","False",12,"Caro","Eixample"
3,4,4.5,4,4,4,340,113.5,1252,353,565,204,82,48,28,532,127,"Ciutat Vella",41.38554,2.165843,"False","True","False","True","False","True","True","True","False",85,"False","False","True","False","False","False","Céntrico",100,"True","True","True","True","True","False","False","True",12,"Medio","Ciutat Vella"
2,3.5,4.5,3.5,3.5,3.5,123,104,201,70,51,38,11,31,1,478,114,"El Ensanche (Eixample)",41.393753,2.159981,"False","False","False","True","False","False","False","False","True",8,"False","False","True","False","False","False","Céntrico",100,"True","False","False","False","False","False","False","False",12,"Medio","Eixample"
3,3.5,4.5,4,4,3.5,343,122.5,327,82,137,67,26,15,6,220,20,"Ciutat Vella",41.377094,2.188748,"False","True","False","True","False","True","True","True","False",27,"False","False","True","False","False","True","De gama media",100,"True","False","True","True","True","False","True","False",12,"Medio","Ciutat Vella"
NA,3.5,4,3.5,3.5,3.5,191,79,168,40,78,25,7,18,5,196,33,"Sants-Montjuïc",41.372227,2.157479,"False","False","False","False","False","True","True","False","False",74,"True","False","True","False","False","False","Hoteles peculiares",100,"True","True","True","True","True","False","False","False",10,"Medio","Sants-Montjuïc"
2,3.5,4.5,4,3.5,3.5,364,97.5,410,94,162,80,42,32,8,526,125,"El Ensanche (Eixample)",41.386021,2.165272,"False","False","False","True","False","True","True","True","False",48,"False","False","True","False","False","False","",100,"True","True","True","True","False","False","False","False",12,"Medio","Eixample"
2,3.5,4.5,4,4,4,130,72,424,66,157,132,30,39,7,456,81,"Ciutat Vella",41.382259,2.164173,"False","False","False","False","False","False","False","False","False",36,"False","False","True","False","False","False","Tranquilo",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
1,3.5,4.5,4,3.5,4,353,481,541,84,244,145,43,25,14,622,199,"Ciutat Vella",41.382202,2.16962,"False","False","False","False","False","True","True","True","False",27,"False","False","True","False","False","False","Económico",100,"True","True","True","True","True","False","False","False",12,"Lujo","Ciutat Vella"
2,3.5,4.5,4.5,4,4,112,92,318,104,105,54,25,30,8,340,75,"El Ensanche (Eixample)",41.397392,2.165712,"False","False","False","True","False","False","True","False","False",5,"False","False","True","False","False","False","",100,"True","False","False","True","True","False","False","False",13,"Medio","Eixample"
4,3.5,4,4,4,3.5,373,109.5,3372,687,1300,817,343,225,148,178,20,"Sants-Montjuïc",41.379257,2.143018,"True","True","True","True","False","False","True","True","False",423,"False","False","True","False","False","False","De gama media",100,"False","True","False","True","False","False","False","False",10,"Medio","Sants-Montjuïc"
4,4,4.5,4.5,4,4,320,219.5,271,127,86,29,13,16,7,739,328,"Ciutat Vella",41.384701,2.179059,"False","False","False","True","False","True","True","True","False",11,"True","False","True","False","False","False","Familiar",100,"True","True","True","True","False","False","False","True",13,"Caro","Ciutat Vella"
3,4,4,4.5,4.5,4,332,82.5,160,59,67,24,7,3,1,126,15,"Sant Gervasi-La Bonanova",41.405434,2.136432,"False","False","False","False","True","False","False","False","False",21,"False","False","True","False","False","False","Tranquilo",97,"False","False","False","False","False","False","False","False",13,"Medio","Sarrià"
4,3.5,3,3.5,3.5,3.5,386,90.5,1190,211,390,297,145,147,29,72,16,"El Putxet i el Farró",41.407284,2.144298,"True","True","True","True","True","True","True","True","False",151,"False","False","True","False","False","False","Barrio residencial",98,"True","False","False","True","False","False","False","False",13,"Medio","Sarrià"
1,3.5,4.5,4,3.5,4,402,68.5,173,30,53,57,22,11,20,448,141,"Ciutat Vella",41.383106,2.184798,"False","False","False","True","False","False","True","False","False",15,"False","False","True","False","False","False","Económico",100,"False","True","True","True","True","False","False","False",13,"Medio","Ciutat Vella"
2,4,4,3.5,3.5,3.5,74,56.5,277,79,113,47,18,20,5,162,28,"Vila de Gràcia",41.405483,2.150615,"False","False","False","False","False","False","False","False","True",15,"False","False","True","False","False","True","",100,"True","True","False","True","False","False","False","True",13,"Barato","Gràcia"
NA,3.5,4.5,4,3.5,3.5,188,54.5,285,46,123,76,15,25,10,386,144,"Ciutat Vella",41.385021,2.184971,"False","False","False","False","False","False","True","True","False",26,"False","False","True","False","False","True","Céntrico",100,"True","False","True","True","True","False","False","False",13,"Barato","Ciutat Vella"
2,4,5,4,4,4,306,98,664,148,323,136,34,23,28,609,230,"Ciutat Vella",41.385494,2.17166,"False","False","False","True","False","True","True","True","False",46,"False","False","True","False","False","True","Céntrico",100,"True","False","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
3,3.5,4,4,3.5,3.5,391,84.5,602,76,221,197,66,42,34,308,25,"El Ensanche (Eixample)",41.389488,2.147394,"True","True","True","True","False","True","True","True","False",80,"False","False","True","False","True","False","",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
2,4,4,4.5,4.5,4,213,55.5,141,62,39,16,13,11,5,350,60,"Sants-Montjuïc",41.374115,2.165627,"False","False","False","False","False","True","True","True","False",5,"False","False","False","False","False","True","Económico",100,"True","True","True","True","True","False","False","True",11,"Barato","Sants-Montjuïc"
4,4.5,4.5,4.5,3.5,4,148,141,127,71,33,15,3,5,9,449,107,"El Ensanche (Eixample)",41.393593,2.165153,"False","False","False","False","False","False","True","True","True",20,"False","False","True","False","False","False","Moderno",100,"False","False","False","True","True","False","True","False",13,"Medio","Eixample"
1,3.5,3.5,4,4,3.5,136,62.5,119,38,43,17,9,12,3,352,35,"Sant Gervasi-Galvany",41.397541,2.147575,"False","False","False","True","False","False","True","False","False",6,"False","False","True","False","False","False","",100,"True","False","False","True","True","False","False","False",12,"Medio","Sarrià"
4,4,4,4,4,4,123,138,294,122,88,43,18,23,10,71,13,"Poblenou",41.397923,2.195908,"True","False","False","False","False","False","True","True","True",23,"False","False","True","False","False","False","Familiar",98,"True","True","True","True","False","False","False","False",15,"Medio","Sant Martí"
NA,4.5,4.5,5,4,4,78,98.5,140,78,43,8,4,7,5,427,56,"El Ensanche (Eixample)",41.395157,2.168945,"False","True","False","True","False","False","True","False","False",7,"False","False","True","False","False","False","Con encanto",100,"True","False","False","True","False","False","False","False",13,"Medio","Eixample"
1,4,4.5,4,4,4,142,59,347,102,138,60,16,31,3,414,98,"El Ensanche (Eixample)",41.39703,2.161663,"False","False","False","False","False","False","True","True","False",9,"False","False","True","False","False","False","Económico",100,"True","False","True","True","False","False","False","False",13,"Barato","Eixample"
3,4,4.5,4.5,4.5,4.5,107,98.5,175,101,38,17,7,12,9,331,39,"Sant Gervasi-Galvany",41.400253,2.151383,"False","False","False","True","False","False","True","False","False",10,"False","False","True","False","False","True","Moderno",100,"False","False","True","True","False","False","True","False",13,"Medio","Sarrià"
3,4.5,4.5,4.5,4,4.5,147,205,129,69,43,7,1,9,19,493,179,"Ciutat Vella",41.384239,2.183622,"False","False","False","False","False","False","True","False","False",11,"False","False","True","False","False","False","De gama media",100,"True","True","True","True","True","False","False","False",13,"Caro","Ciutat Vella"
5,3.5,5,4,4,3.5,351,172.5,832,260,266,175,74,57,12,464,117,"El Ensanche (Eixample)",41.390888,2.166076,"False","True","False","True","True","True","True","True","False",70,"True","False","True","False","False","False","",100,"True","True","True","True","True","False","False","True",12,"Caro","Eixample"
5,3.5,5,4,3.5,3.5,142,133,77,20,33,10,4,10,4,516,133,"El Ensanche (Eixample)",41.386795,2.167455,"False","True","False","False","False","False","True","True","False",108,"False","False","True","False","False","False","Negocios",100,"True","True","False","False","False","False","False","False",12,"Medio","Eixample"
3,4,5,4.5,4.5,4,366,100,189,83,64,21,9,12,10,396,61,"El Ensanche (Eixample)",41.392502,2.173017,"False","False","False","True","False","False","True","True","False",10,"False","False","True","False","False","False","Céntrico",100,"True","True","True","True","True","False","False","True",13,"Medio","Eixample"
2,5,5,5,5,4.5,10,143,325,260,53,9,3,0,9,429,113,"El Ensanche (Eixample)",41.394173,2.160921,"False","False","False","True","False","False","True","True","False",9,"False","False","True","False","False","True","Clásico",100,"True","True","False","True","False","False","False","False",13,"Medio","Eixample"
1,3.5,4.5,3.5,3.5,3.5,406,87.5,300,52,106,83,22,37,13,428,96,"El Ensanche (Eixample)",41.39352,2.166365,"False","False","False","True","False","True","True","True","False",18,"False","False","True","False","False","False","",100,"True","True","False","True","True","False","False","False",13,"Medio","Eixample"
4,4.5,5,5,5,4.5,51,138,853,650,163,25,9,6,46,443,109,"El Ensanche (Eixample)",41.39286,2.165427,"True","False","False","True","False","True","True","True","False",81,"True","False","True","False","False","False","Romántico",100,"True","True","True","True","True","False","False","True",13,"Medio","Eixample"
3,4.5,5,4.5,4.5,4.5,47,136,1538,1007,462,49,8,12,42,495,161,"El Ensanche (Eixample)",41.387794,2.17173,"False","False","False","True","False","True","True","True","False",66,"True","False","True","False","False","False","Moderno",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
4,4.5,5,5,4.5,4.5,46,154,1594,1134,364,59,22,15,71,428,139,"El Ensanche (Eixample)",41.38929,2.172539,"True","True","True","True","False","True","True","True","False",75,"True","False","True","False","False","False","Moderno",100,"True","True","True","True","True","False","False","False",13,"Caro","Eixample"
2,4.5,4.5,4.5,5,4.5,27,83,272,202,59,8,2,1,1,252,30,"El Ensanche (Eixample)",41.397152,2.176201,"False","False","False","False","False","True","True","True","False",9,"False","False","True","False","False","True","Moderno",100,"True","True","True","True","False","False","False","False",14,"Medio","Eixample"
4,4.5,4.5,4.5,4.5,4.5,28,342.5,798,542,196,43,7,10,15,246,42,"El Camp d'en Grassot i Gràcia Nova",41.402512,2.169095,"False","False","False","False","False","False","True","True","False",NA,"True","False","True","False","False","True","Barrio residencial",100,"True","True","True","True","False","False","False","False",14,"Lujo","Gràcia"
2,3,4,3,3,3.5,373,67.5,155,27,39,43,16,30,3,220,32,"Sants-Montjuïc",41.376305,2.145606,"False","False","False","False","False","True","False","False","False",12,"False","False","True","False","False","False","Económico",100,"True","False","False","True","False","False","False","False",10,"Medio","Sants-Montjuïc"
3,3.5,4.5,4,3.5,4,168,86,45,15,5,17,3,5,1,307,39,"El Ensanche (Eixample)",41.401897,2.173449,"False","False","False","False","False","False","False","False","False",6,"False","False","True","False","False","True","",100,"True","True","False","True","False","False","False","False",14,"Medio","Eixample"
4,3,4.5,3.5,3.5,3,424,138,984,122,296,239,171,156,8,596,302,"Ciutat Vella",41.386028,2.176132,"False","True","False","True","True","True","True","True","False",79,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","True","False",13,"Medio","Ciutat Vella"
4,4.5,5,4.5,4.5,4.5,15,176.5,1007,777,187,28,8,7,33,416,116,"El Ensanche (Eixample)",41.394375,2.161838,"True","False","False","False","True","True","True","True","True",30,"True","False","True","False","False","True","Moderno",100,"True","True","True","True","False","False","False","False",13,"Caro","Eixample"
5,5,5,5,5,4.5,27,300.5,388,339,31,8,6,4,11,439,106,"El Ensanche (Eixample)",41.39072,2.169401,"True","True","True","True","True","False","True","True","False",91,"True","False","True","False","False","False","De lujo",100,"True","True","False","False","False","False","False","False",13,"Lujo","Eixample"
